Al,Cu,Mg,Si,Zn,Zr,Mn,Ag,Li,Ca,Fe,Ti,Sn,Cr,Ge,Sc,Crack Susceptibility Level,Observations
0.872024232,0.0246,0.024,0.00249816,0.069,0.001706782,0.000777699,0.000150905,9.30E-05,0.000135799,0.003792647,0.000567174,0.000204682,0.0002,0.000139895,0.000109045,Medium,High Zn can contribute to segregation but strengthens alloy.
0.889151369,0.0186,0.0194,0.004802857,0.0605,0.001599697,0.001312851,0.000169502,0.000170396,0.000170815,0.003144385,0.000531264,0.000198792,0,0.000127056,0.000121015,Medium,High Zn can contribute to segregation but strengthens alloy.
0.863341326,0.0293,0.0271,0.003927976,0.069,0.001274999,0.001809419,8.76E-05,0.000199586,0.000164024,0.00223811,0.000123078,0.000462502,0.0007,9.32E-05,0.000178182,Low,"High Zn can contribute to segregation but strengthens alloy. Mg helps refine grains, reducing cracking tendency. Cr enhances grain boundary strength and reduces cracking."
0.877796337,0.0294,0.0266,0.003394634,0.0537,0.00192528,0.001598337,0.000143731,5.45E-05,7.31E-05,0.00425518,0.000407123,0.000199818,0.0003,5.10E-05,0.000101001,Medium,"Mg helps refine grains, reducing cracking tendency."
0.890137759,0.0128,0.027,0.001624075,0.0609,0.000640807,0.001709842,0.000135762,0.000184605,7.24E-05,0.003738925,0.000442176,0.00020878,0.0001,0.000124436,0.000180447,Medium,"High Zn can contribute to segregation but strengthens alloy. Mg helps refine grains, reducing cracking tendency."
0.897624321,0.0166,0.016,0.001623978,0.0625,0.000485749,0.001488175,0.000174925,0.000143395,9.02E-05,0.001650468,0.000458941,0.000403759,0.0006,9.28E-05,6.32E-05,Medium,High Zn can contribute to segregation but strengthens alloy. Cr enhances grain boundary strength and reduces cracking.
0.903318963,0.0105,0.0166,0.001232334,0.0586,0.001751735,0.001538415,0.000185913,0.000196007,0.000104161,0.004643709,0.000622155,0.000279896,0.0001,0.000160191,0.00016652,Medium,Balanced composition with moderate crack susceptibility.
0.869520304,0.0227,0.0281,0.004464705,0.0662,0.001046555,0.001773793,5.18E-05,0.000119751,0.000111268,0.004290149,0.000580242,0.000410684,0.0004,5.36E-05,0.000177132,Medium,"High Zn can contribute to segregation but strengthens alloy. Mg helps refine grains, reducing cracking tendency."
0.890613568,0.0183,0.0183,0.00340446,0.0602,0.001739847,0.000874502,0.000151103,0.000177108,0.000151955,0.0047992,0.000647115,0.000126146,0.0003,0.000137724,7.73E-05,Medium,High Zn can contribute to segregation but strengthens alloy.
0.891447608,0.0222,0.0225,0.00383229,0.0507,0.001818253,0.001234137,5.78E-05,5.94E-05,5.85E-05,0.003902878,0.000788395,0.000295028,0.0008,0.000191221,0.000114552,Medium,Cr enhances grain boundary strength and reduces cracking.
0.884342069,0.0227,0.023,0.001082338,0.0626,0.000406178,0.000831814,0.000132329,0.000100292,5.52E-05,0.003453661,0.000831687,0.000113445,0.0002,7.62E-05,7.48E-05,Medium,High Zn can contribute to segregation but strengthens alloy.
0.883553902,0.0287,0.0171,0.004879639,0.0577,0.00180189,0.001981502,9.31E-05,6.01E-05,0.000108787,0.002672972,0.000746311,0.000125061,0.0002,0.000120747,0.000155991,Medium,Balanced composition with moderate crack susceptibility.
0.88619763,0.0168,0.0202,0.004329771,0.0627,0.001062142,0.001916089,9.60E-05,0.000196301,0.000154575,0.004730914,0.000959971,0.000462575,0,6.37E-05,0.000130302,Medium,High Zn can contribute to segregation but strengthens alloy.
0.890843749,0.021,0.0254,0.001849356,0.0532,0.001167735,0.00055914,0.000102944,0.000172546,7.90E-05,0.004464256,0.000116409,0.000155698,0.0006,0.000143852,0.000145299,Low,"Mg helps refine grains, reducing cracking tendency. Cr enhances grain boundary strength and reduces cracking."
0.887599733,0.0295,0.0209,0.0017273,0.0549,0.001365207,0.001558363,0.000143194,0.000177882,0.000146226,0.001180875,0.0002762,0.000312968,0,0.00013258,7.95E-05,Medium,Balanced composition with moderate crack susceptibility.
0.874154303,0.0283,0.0206,0.001733618,0.0691,0.00187485,0.001887872,0.000100107,0.000190695,8.90E-05,0.001105468,0.000106807,0.000264438,0.0003,0.000111105,8.18E-05,Medium,High Zn can contribute to segregation but strengthens alloy.
0.890562138,0.0214,0.0165,0.002216969,0.0639,0.000332497,0.000770863,0.000159905,6.28E-05,0.000182913,0.002505853,0.000682727,0.000238937,0.0003,0.000128207,5.62E-05,Medium,High Zn can contribute to segregation but strengthens alloy.
0.87714238,0.0202,0.0225,0.003099026,0.0683,0.001110634,0.001351918,0.000110679,0.00010784,0.000184353,0.004242213,0.000908227,0.000459933,0,0.000184486,9.83E-05,Medium,High Zn can contribute to segregation but strengthens alloy.
0.899623985,0.0106,0.0156,0.00272778,0.0618,0.001469127,0.001873232,6.03E-05,6.07E-05,9.46E-05,0.004949105,0.000319134,0.000108729,0.0005,7.94E-05,0.000133962,Medium,High Zn can contribute to segregation but strengthens alloy.
0.882488291,0.0203,0.0198,0.002164917,0.0695,0.001528602,0.000550919,0.000167564,8.16E-05,8.45E-05,0.001601668,0.000934331,0.000365516,0.0002,5.34E-05,0.00017869,Medium,High Zn can contribute to segregation but strengthens alloy.
0.882094779,0.0232,0.0192,0.003447412,0.0643,0.001477305,0.00154613,9.29E-05,8.44E-05,0.000111696,0.003376523,0.000154241,0.000485358,0.0001,0.00017925,0.000150039,Medium,High Zn can contribute to segregation but strengthens alloy.
0.8919056,0.0195,0.0165,0.001557975,0.0641,0.00052854,0.000946024,0.000114915,0.000120366,8.61E-05,0.002523563,0.000940992,0.000324067,0.0006,0.000136568,0.000115309,Medium,High Zn can contribute to segregation but strengthens alloy. Cr enhances grain boundary strength and reduces cracking.
0.898894482,0.0114,0.0246,0.002168579,0.0533,0.000808973,0.001886594,0.000152817,9.03E-05,0.000150858,0.004879658,0.00041646,0.000474729,0.0004,0.000183599,0.000192968,Medium,Balanced composition with moderate crack susceptibility.
0.909951138,0.012,0.0153,0.002465447,0.0514,0.000909816,0.001956587,9.99E-05,6.51E-05,0.00017391,0.004368476,0.000191279,0.000120903,0.0007,0.000139542,0.000157887,Medium,Cr enhances grain boundary strength and reduces cracking.
0.887988036,0.0156,0.0177,0.00282428,0.0661,0.001667543,0.0019164,5.85E-05,7.51E-05,0.000150964,0.004353315,0.000537285,0.000267517,0.0004,0.000171524,0.000189525,Medium,High Zn can contribute to segregation but strengthens alloy.
0.873668727,0.0201,0.0274,0.004140704,0.0681,0.000773892,0.001211321,0.000106088,7.21E-05,0.000173653,0.002874773,0.000331099,0.000204063,0.0006,0.000114451,0.000129138,Low,"High Zn can contribute to segregation but strengthens alloy. Mg helps refine grains, reducing cracking tendency. Cr enhances grain boundary strength and reduces cracking."
0.885093558,0.0235,0.0263,0.001798695,0.0566,0.000658198,0.001793064,0.000191667,0.000195962,0.000109549,0.002659278,0.000356386,0.000392328,0.0001,0.000162479,8.88E-05,Medium,"Mg helps refine grains, reducing cracking tendency."
